106,814,CHILD PORNOGRAPHY,12,16
134,830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),12,16
130,840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",12,16
50,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,12,16
71,850,INDECENT EXPOSURE,12,16
79,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",12,16
85,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,14,21
36,320,"BURGLARY, ATTEMPTED",14,21
46,805,PIMPING,14,21
107,806,PANDERING,14,21
21,860,BATTERY WITH SEXUAL CONTACT,14,21
84,755,BOMB SCARE,16,27
136,882,INCITING A RIOT,16,27
62,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",16,27
64,815,SEXUAL PENETRATION W/FOREIGN OBJECT,16,27
63,820,ORAL COPULATION,16,27
48,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,16,27
29,220,ATTEMPTED ROBBERY,17,30
28,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,17,30
6,310,BURGLARY,17,30
1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",18,33
54,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,18,33
42,237,CHILD NEGLECT (SEE 300 W.I.C.),18,33
30,760,LEWD/LASCIVIOUS ACTS WITH CHILD,18,33
86,763,STALKING,18,33
128,870,CHILD ABANDONMENT,18,33
53,250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",19,37
59,251,SHOTS FIRED AT INHABITED DWELLING,19,37
14,210,ROBBERY,20,41
103,434,FALSE IMPRISONMENT,20,41
52,940,EXTORTION,20,41
108,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,22,51
24,648,ARSON,24,63
94,865,"DRUGS, TO A MINOR",24,63
118,436,LYNCHING - ATTEMPTED,26,78
43,122,"RAPE, ATTEMPTED",27,87
80,435,LYNCHING,29,108
99,920,KIDNAPPING - GRAND ATTEMPT,29,108
49,121,"RAPE, FORCIBLE",30,121
138,926,TRAIN WRECKING,30,121
74,910,KIDNAPPING,32,151
116,944,CONSPIRACY,33,168
67,922,CHILD STEALING,35,210
4,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),38,293
70,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,38,293
77,110,CRIMINAL HOMICIDE,43,500
